path,fruit,quality,class,source,width,height
Fruits/Good Quality_Fruits/Apple_Good/20260529_170750.jpg,Apple,Good,Apple_Good,recolectada,2730,2663
Fruits/Good Quality_Fruits/Apple_Good/20260529_170758.jpg,Apple,Good,Apple_Good,recolectada,2585,2566
Fruits/Good Quality_Fruits/Apple_Good/20260529_170804.jpg,Apple,Good,Apple_Good,recolectada,3044,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170811.jpg,Apple,Good,Apple_Good,recolectada,2747,2747
Fruits/Good Quality_Fruits/Apple_Good/20260529_170817.jpg,Apple,Good,Apple_Good,recolectada,2997,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170823.jpg,Apple,Good,Apple_Good,recolectada,3044,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170828.jpg,Apple,Good,Apple_Good,recolectada,2826,2826
Fruits/Good Quality_Fruits/Apple_Good/20260529_170833.jpg,Apple,Good,Apple_Good,recolectada,2937,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170838.jpg,Apple,Good,Apple_Good,recolectada,3004,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170900.jpg,Apple,Good,Apple_Good,recolectada,2505,2487
Fruits/Good Quality_Fruits/Apple_Good/20260529_170909.jpg,Apple,Good,Apple_Good,recolectada,2680,2695
Fruits/Good Quality_Fruits/Apple_Good/20260529_170915.jpg,Apple,Good,Apple_Good,recolectada,2704,2645
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0277.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0280.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0284.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0286.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0289.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0292.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0295.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0297.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0299.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0301.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0303.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0305.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0307.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0309.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0311.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0313.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0315.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0317.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0319.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0321.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0323.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/IMG-20260603-WA0325.jpg,Apple,Good,Apple_Good,recolectada,3024,4032
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM (1).jpeg,Apple,Good,Apple_Good,recolectada,1156,868
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM (2).jpeg,Apple,Good,Apple_Good,recolectada,1156,868
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM (3).jpeg,Apple,Good,Apple_Good,recolectada,1156,868
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM (4).jpeg,Apple,Good,Apple_Good,recolectada,868,1156
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM (5).jpeg,Apple,Good,Apple_Good,recolectada,868,1156
Fruits/Good Quality_Fruits/Apple_Good/WhatsApp Image 2026-05-22 at 2.56.12 PM.jpeg,Apple,Good,Apple_Good,recolectada,1156,868
Fruits/Good Quality_Fruits/Apple_Good/foto_0.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_1.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_10.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_100.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_101.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_102.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_103.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_104.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_105.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_106.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_107.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_108.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_109.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_11.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_110.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_111.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_112.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_113.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_114.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_115.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_116.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_117.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_118.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_119.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_12.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_120.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_121.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_122.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_123.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_124.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_125.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_126.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_127.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_128.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_129.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_13.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_130.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_131.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_132.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_133.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_134.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_135.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_136.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_137.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_138.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_139.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_14.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_140.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_141.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_142.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_143.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_144.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_145.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_146.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_147.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_148.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_149.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_15.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_150.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_151.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_152.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_153.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_154.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_155.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_156.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_157.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_158.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_159.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_16.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_160.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_161.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_162.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_163.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_164.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_165.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_166.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_167.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_168.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_169.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_17.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_170.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_171.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_172.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_173.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_174.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_175.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_176.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_177.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_178.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_179.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_18.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_180.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_181.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_182.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_183.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_184.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_185.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_186.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_187.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_188.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_189.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_19.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_190.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_191.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_192.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_193.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_194.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_195.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_196.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_197.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_198.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_199.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_2.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_20.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_21.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_22.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_23.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_24.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_25.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_26.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_27.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_28.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_29.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_3.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_30.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_31.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_32.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_33.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_34.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_35.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_36.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_37.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_38.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_39.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_4.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_40.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_41.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_42.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_43.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_44.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_45.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_46.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_47.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_48.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_49.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_5.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_50.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_51.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_52.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_53.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_54.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_55.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_56.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_57.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_58.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_59.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_6.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_60.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_61.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_62.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_63.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_64.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_65.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_66.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_67.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_68.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_69.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_7.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_70.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_71.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
Fruits/Good Quality_Fruits/Apple_Good/foto_72.jpg,Apple,Good,Apple_Good,recolectada,1920,1080
